NM_LIVRO,NM_GENERO,NM_AUTOR,NM_EDITORA,NR_VALOR_VENDA,NM_LIVRARIA,NR_UNIDADES_VENDIDAS
Futuro Agora: Revolução Digital,Tecnologia,Maria Oliveira,Editora Rocco,109.56,Livraria Fnac,48
Aventuras Mágicas: A Fada e o Dragão,Infantil,Juliana Rocha,Editora Globo,20.89,Livraria Fnac,289
O Mistério de Londres,Suspense,Carlos Souza,Editora Globo,61.97,Livraria Fnac,40
O Feitiço da Chama,Fantasia,Sofia Almeida,Companhia das Letras,93.31,Livraria Cultura,340
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Carlos Souza,Editora Sextante,99.76,Livraria Cultura,110
Os Guerreiros do Passado,História,Lucas Lima,Editora Record,20.16,Livraria Lecos,503
O Horizonte Proibido,Ficção,João Silva,Editora Sextante,38.96,Livraria Cultura,482
O Mistério de Moscou,Suspense,Thiago Fernandes,Intrínseca,58.97,Livraria Fnac,26
A Última Fronteira,Ficção,Gustavo Ribeiro,Companhia das Letras,54.72,Livraria Cultura,11
O Feitiço da Chama,Fantasia,Lucas Lima,Companhia das Letras,68.65,Livraria Lecos,8
Amor Eterno: A Noite das Estrelas,Romance,Sofia Almeida,Editora Rocco,45.46,Livraria Martins Fontes,103
Os Olhos da Noite,Terror,Gustavo Ribeiro,Editora Planeta,32.88,Livraria Fnac,51
Aventuras Mágicas: A Fada e o Dragão,Infantil,Sofia Almeida,Intrínseca,52.74,Livraria da Travessa,2
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Companhia das Letras,13.83,Livraria Cultura,755
O Feitiço da Sombra,Fantasia,Carla Dias,Intrínseca,109.3,Livraria Cultura,2
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,João Silva,Editora Record,12.98,Livraria da Travessa,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Carla Dias,Intrínseca,36.06,Livraria Fnac,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Maria Oliveira,Editora Record,82.27,Livraria Martins Fontes,14
Vida Incrível: O Legado de uma Lenda,Biografia,Beatriz Nunes,Editora Sextante,51.1,Livraria Fnac,8
A Última Fronteira,Ficção,João Silva,Editora Record,21.25,Livraria da Travessa,12
Revolução Científica: Explorando o Infinito,Ciência,Maria Oliveira,Editora Sextante,40.98,Livraria Fnac,4
A Última Fronteira,Ficção,Gustavo Ribeiro,Editora Planeta,18.77,Livraria Martins Fontes,17
Amor Eterno: Entre Nós,Romance,Fernanda Costa,Editora Rocco,156.16,Livraria Fnac,249
Amor Eterno: Entre Nós,Romance,Sofia Almeida,Editora Record,44.17,Livraria Martins Fontes,5
Vida Incrível: Histórias de Superação,Biografia,Lucas Lima,Editora Record,27.04,Livraria Cultura,14
A Última Fronteira,Ficção,Ana Pereira,Editora Planeta,88.95,Livraria Lecos,135
O Mistério de Nova York,Suspense,Pedro Martins,Editora Planeta,101.44,Livraria Saraiva,30
A Última Batalha,História,Sofia Almeida,Editora Rocco,29.25,Livraria Fnac,91
Futuro Agora: Conectando o Mundo,Tecnologia,Pedro Martins,Companhia das Letras,73.34,Livraria Fnac,172
O Mistério de Moscou,Suspense,Ana Pereira,Companhia das Letras,32.46,Livraria Martins Fontes,0
O Feitiço da Estrela,Fantasia,Juliana Rocha,Intrínseca,21.02,Livraria Lecos,15
Amor Eterno: A Noite das Estrelas,Romance,João Silva,Editora Globo,8.3,Livraria da Travessa,171
O Feitiço da Lua,Fantasia,Carlos Souza,Editora Sextante,33.78,Livraria Lecos,15
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Rafael Gomes,Editora Globo,25.75,Livraria Saraiva,161
Os Olhos da Noite,Terror,Lucas Lima,Editora Rocco,11.5,Livraria Cultura,266
Revolução Científica: Mistérios do Universo,Ciência,Carla Dias,Intrínseca,16.85,Livraria Fnac,36
Futuro Agora: Inteligência Artificial,Tecnologia,Maria Oliveira,Editora Sextante,122.62,Livraria da Travessa,56
O Feitiço da Sombra,Fantasia,João Silva,Editora Record,68.88,Livraria da Travessa,11
O Feitiço da Montanha,Fantasia,Maria Oliveira,Editora Sextante,21.6,Livraria Saraiva,2
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Juliana Rocha,Editora Rocco,21.19,Livraria Martins Fontes,227
Revolução Científica: O Enigma da Matéria,Ciência,Carla Dias,Editora Planeta,11.05,Livraria Cultura,263
Nos Bastidores da História,História,Pedro Martins,Editora Sextante,141.93,Livraria Cultura,0
O Mistério de Londres,Suspense,Juliana Rocha,Editora Globo,34.53,Livraria Martins Fontes,27
Vida Incrível: Passos para a Eternidade,Biografia,Maria Oliveira,Intrínseca,19.17,Livraria Lecos,60
Amor Eterno: Entre Nós,Romance,Rafael Gomes,Editora Sextante,56.24,Livraria Cultura,10
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Juliana Rocha,Intrínseca,32.24,Livraria Fnac,50
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Thiago Fernandes,Editora Record,35.43,Livraria Fnac,3
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Intrínseca,50.39,Livraria da Travessa,229
Vida Incrível: Histórias de Superação,Biografia,Sofia Almeida,Editora Planeta,92.75,Livraria da Travessa,46
Vida Incrível: O Legado de uma Lenda,Biografia,Carlos Souza,Editora Record,45.5,Livraria Saraiva,22
O Feitiço da Chama,Fantasia,Lucas Lima,Editora Sextante,47.03,Livraria Martins Fontes,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Fernanda Costa,Intrínseca,42.89,Livraria Saraiva,63
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Carlos Souza,Editora Planeta,53.63,Livraria da Travessa,62
Os Guerreiros do Passado,História,Beatriz Nunes,Editora Record,18.41,Livraria Martins Fontes,322
Amor Eterno: A Noite das Estrelas,Romance,Lucas Lima,Editora Planeta,27.98,Livraria Fnac,1154
A Última Fronteira,Ficção,Rafael Gomes,Editora Sextante,17.91,Livraria Fnac,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Pedro Martins,Editora Rocco,4.6,Livraria Cultura,17
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Thiago Fernandes,Editora Rocco,51.83,Livraria Cultura,56
Aventuras Mágicas: A Fada e o Dragão,Infantil,Rafael Gomes,Editora Record,67.39,Livraria da Travessa,2
A Casa das Sombras,Terror,Pedro Martins,Editora Planeta,12.43,Livraria Fnac,93
Desperte Seu Poder: Vença o Medo,Autoajuda,Maria Oliveira,Editora Globo,272.73,Livraria Martins Fontes,17
Aventura Radical: Viagem ao Centro da Terra,Aventura,Gustavo Ribeiro,Intrínseca,82.41,Livraria da Travessa,0
O Horizonte Proibido,Ficção,Ana Pereira,Companhia das Letras,55.53,Livraria Saraiva,0
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Gustavo Ribeiro,Editora Record,77.12,Livraria Saraiva,0
Revolução Científica: O Enigma da Matéria,Ciência,Juliana Rocha,Editora Rocco,4.96,Livraria Martins Fontes,72
O Horizonte Proibido,Ficção,Pedro Martins,Editora Record,14.18,Livraria Fnac,141
O Feitiço da Lua,Fantasia,Carlos Souza,Intrínseca,15.68,Livraria da Travessa,231
Aventuras Mágicas: A Fada e o Dragão,Infantil,Lucas Lima,Intrínseca,44.99,Livraria Lecos,213
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Juliana Rocha,Intrínseca,82.03,Livraria Martins Fontes,0
Os Guerreiros do Passado,História,Gustavo Ribeiro,Editora Rocco,29.95,Livraria Saraiva,4
Revolução Científica: O Enigma da Matéria,Ciência,Fernanda Costa,Companhia das Letras,87.69,Livraria Cultura,242
A Casa das Sombras,Terror,Maria Oliveira,Editora Record,19.22,Livraria Lecos,2
Aventuras Mágicas: A Fada e o Dragão,Infantil,Beatriz Nunes,Editora Globo,66.66,Livraria Lecos,102
Vida Incrível: Histórias de Superação,Biografia,Juliana Rocha,Editora Sextante,18.42,Livraria Fnac,359
A Casa das Sombras,Terror,Carlos Souza,Intrínseca,31.99,Livraria Lecos,43
Os Guerreiros do Passado,História,Carlos Souza,Intrínseca,11.17,Livraria Lecos,23
A Última Fronteira,Ficção,Carla Dias,Intrínseca,69.89,Livraria Fnac,104
A Última Batalha,História,Carla Dias,Editora Sextante,99.89,Livraria Saraiva,18
Vida Incrível: Passos para a Eternidade,Biografia,Fernanda Costa,Editora Globo,26.19,Livraria da Travessa,358
O Horizonte Proibido,Ficção,Carlos Souza,Editora Record,27.22,Livraria Martins Fontes,9
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Editora Globo,23.3,Livraria da Travessa,161
Revolução Científica: Explorando o Infinito,Ciência,Rafael Gomes,Editora Globo,64.18,Livraria Cultura,214
Os Guerreiros do Passado,História,João Silva,Companhia das Letras,24.92,Livraria Cultura,0
Vida Incrível: Passos para a Eternidade,Biografia,Thiago Fernandes,Editora Record,26.22,Livraria da Travessa,115
Os Guerreiros do Passado,História,João Silva,Editora Rocco,17.23,Livraria Martins Fontes,211
Futuro Agora: Conectando o Mundo,Tecnologia,Beatriz Nunes,Editora Record,115.09,Livraria Lecos,0
Aventura Radical: Os Mistérios do Deserto,Aventura,Sofia Almeida,Companhia das Letras,44.7,Livraria Martins Fontes,479
O Feitiço da Montanha,Fantasia,Beatriz Nunes,Companhia das Letras,30.89,Livraria Saraiva,10
Revolução Científica: Explorando o Infinito,Ciência,Juliana Rocha,Editora Planeta,40.0,Livraria Saraiva,396
Futuro Agora: Revolução Digital,Tecnologia,Thiago Fernandes,Editora Sextante,79.78,Livraria Cultura,51
Revolução Científica: Explorando o Infinito,Ciência,Pedro Martins,Editora Sextante,23.91,Livraria Martins Fontes,1
Nos Bastidores da História,História,João Silva,Intrínseca,32.37,Livraria da Travessa,210
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Sextante,9.6,Livraria Lecos,622
Aventuras Mágicas: A Fada e o Dragão,Infantil,Thiago Fernandes,Companhia das Letras,23.06,Livraria Lecos,96
Além do Infinito,Ficção,Maria Oliveira,Editora Sextante,13.46,Livraria da Travessa,53
A Última Fronteira,Ficção,Beatriz Nunes,Editora Record,325.52,Livraria Martins Fontes,0
A Última Batalha,História,Carla Dias,Editora Globo,81.26,Livraria Saraiva,2
Desperte Seu Poder: Vença o Medo,Autoajuda,Rafael Gomes,Editora Globo,11.2,Livraria da Travessa,22
O Feitiço da Estrela,Fantasia,Lucas Lima,Editora Rocco,39.86,Livraria Martins Fontes,79
O Mistério de Nova York,Suspense,Beatriz Nunes,Editora Planeta,34.21,Livraria da Travessa,82
Amor Eterno: A Noite das Estrelas,Romance,Carla Dias,Editora Sextante,24.44,Livraria Saraiva,0
Aventura Radical: Viagem ao Centro da Terra,Aventura,Carlos Souza,Editora Record,12.4,Livraria Fnac,73
Revolução Científica: Explorando o Infinito,Ciência,Thiago Fernandes,Editora Planeta,9.55,Livraria Cultura,0
Além do Infinito,Ficção,Carlos Souza,Editora Sextante,69.59,Livraria Fnac,594
Nos Bastidores da História,História,Lucas Lima,Intrínseca,49.3,Livraria Fnac,217
A Casa das Sombras,Terror,Carla Dias,Intrínseca,36.14,Livraria Martins Fontes,701
Revolução Científica: Explorando o Infinito,Ciência,Juliana Rocha,Editora Globo,51.46,Livraria Fnac,89
A Casa das Sombras,Terror,Thiago Fernandes,Editora Rocco,14.99,Livraria Cultura,44
O Feitiço da Estrela,Fantasia,João Silva,Editora Planeta,28.76,Livraria da Travessa,0
O Feitiço da Sombra,Fantasia,Beatriz Nunes,Editora Sextante,19.13,Livraria Lecos,0
Vida Incrível: O Legado de uma Lenda,Biografia,Beatriz Nunes,Editora Planeta,18.57,Livraria Cultura,22
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Lucas Lima,Editora Rocco,87.78,Livraria da Travessa,13
Aventura Radical: Viagem ao Centro da Terra,Aventura,Lucas Lima,Editora Planeta,353.27,Livraria Fnac,8
Aventura Radical: Viagem ao Centro da Terra,Aventura,Maria Oliveira,Companhia das Letras,29.49,Livraria da Travessa,8
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Ana Pereira,Editora Sextante,18.23,Livraria Martins Fontes,0
Amor Eterno: A Noite das Estrelas,Romance,João Silva,Editora Globo,33.11,Livraria Lecos,195
Amor Eterno: Entre Nós,Romance,Lucas Lima,Editora Record,16.28,Livraria Lecos,519
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Beatriz Nunes,Intrínseca,34.99,Livraria Saraiva,0
No Coração do Terror,Terror,Juliana Rocha,Editora Planeta,26.36,Livraria Lecos,290
Os Olhos da Noite,Terror,Fernanda Costa,Editora Record,51.59,Livraria Saraiva,0
A Última Fronteira,Ficção,Lucas Lima,Editora Planeta,161.65,Livraria Fnac,122
Além do Infinito,Ficção,Carlos Souza,Editora Record,14.66,Livraria Martins Fontes,695
Futuro Agora: Inteligência Artificial,Tecnologia,Fernanda Costa,Editora Record,44.09,Livraria Fnac,0
Futuro Agora: Inteligência Artificial,Tecnologia,Lucas Lima,Editora Rocco,33.03,Livraria da Travessa,102
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Beatriz Nunes,Intrínseca,9.09,Livraria Martins Fontes,593
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Thiago Fernandes,Intrínseca,11.95,Livraria Martins Fontes,0
Além do Infinito,Ficção,Carlos Souza,Editora Rocco,14.43,Livraria Saraiva,133
Aventura Radical: Os Mistérios do Deserto,Aventura,Ana Pereira,Editora Planeta,30.59,Livraria Cultura,0
Futuro Agora: Inteligência Artificial,Tecnologia,Maria Oliveira,Editora Globo,21.25,Livraria Lecos,81
Desperte Seu Poder: Vença o Medo,Autoajuda,Ana Pereira,Editora Sextante,13.45,Livraria Martins Fontes,0
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Lucas Lima,Companhia das Letras,50.0,Livraria Lecos,6
Nos Bastidores da História,História,Sofia Almeida,Editora Planeta,40.59,Livraria Fnac,66
Revolução Científica: Explorando o Infinito,Ciência,Thiago Fernandes,Editora Globo,10.64,Livraria Martins Fontes,353
Aventura Radical: Viagem ao Centro da Terra,Aventura,Juliana Rocha,Editora Record,123.34,Livraria Cultura,59
Desperte Seu Poder: Superando Limites,Autoajuda,Gustavo Ribeiro,Editora Planeta,114.62,Livraria Saraiva,202
O Feitiço da Lua,Fantasia,Beatriz Nunes,Companhia das Letras,11.61,Livraria Lecos,90
Os Olhos da Noite,Terror,Gustavo Ribeiro,Editora Rocco,80.55,Livraria da Travessa,0
Vida Incrível: Histórias de Superação,Biografia,Ana Pereira,Editora Rocco,40.26,Livraria Cultura,17
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Thiago Fernandes,Editora Rocco,87.62,Livraria da Travessa,115
O Feitiço da Chama,Fantasia,Lucas Lima,Editora Rocco,16.37,Livraria Saraiva,113
Amor Eterno: A Noite das Estrelas,Romance,Sofia Almeida,Editora Planeta,55.43,Livraria Cultura,229
Revolução Científica: Explorando o Infinito,Ciência,Fernanda Costa,Intrínseca,10.47,Livraria da Travessa,0
Desperte Seu Poder: Superando Limites,Autoajuda,João Silva,Editora Rocco,97.95,Livraria Cultura,31
A Última Batalha,História,Sofia Almeida,Editora Rocco,65.69,Livraria Cultura,54
O Horizonte Proibido,Ficção,Sofia Almeida,Editora Record,59.37,Livraria Fnac,8
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Fernanda Costa,Companhia das Letras,56.07,Livraria da Travessa,65
Futuro Agora: Conectando o Mundo,Tecnologia,João Silva,Editora Planeta,79.94,Livraria Saraiva,69
A Última Batalha,História,Gustavo Ribeiro,Editora Rocco,44.78,Livraria Lecos,6
Futuro Agora: Inteligência Artificial,Tecnologia,João Silva,Editora Globo,44.39,Livraria Saraiva,3
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Carla Dias,Editora Planeta,92.44,Livraria Fnac,2
Futuro Agora: Conectando o Mundo,Tecnologia,Thiago Fernandes,Intrínseca,30.46,Livraria Cultura,28
Revolução Científica: O Enigma da Matéria,Ciência,Juliana Rocha,Intrínseca,29.45,Livraria Saraiva,0
Revolução Científica: Mistérios do Universo,Ciência,Juliana Rocha,Editora Rocco,12.57,Livraria Lecos,216
Desperte Seu Poder: Superando Limites,Autoajuda,Beatriz Nunes,Editora Sextante,33.44,Livraria Cultura,129
O Feitiço da Chama,Fantasia,João Silva,Companhia das Letras,35.18,Livraria Cultura,0
Os Guerreiros do Passado,História,Carla Dias,Companhia das Letras,29.15,Livraria Cultura,43
O Mistério de Nova York,Suspense,Beatriz Nunes,Editora Rocco,9.86,Livraria Lecos,91
Vida Incrível: O Legado de uma Lenda,Biografia,Lucas Lima,Companhia das Letras,70.22,Livraria Martins Fontes,50
Vida Incrível: Histórias de Superação,Biografia,Rafael Gomes,Intrínseca,18.13,Livraria Saraiva,327
O Feitiço da Estrela,Fantasia,Maria Oliveira,Editora Rocco,12.35,Livraria Cultura,17
Os Guerreiros do Passado,História,Thiago Fernandes,Editora Sextante,11.61,Livraria Saraiva,0
Amor Eterno: Corações em Chamas,Romance,Thiago Fernandes,Editora Rocco,5.32,Livraria Cultura,244
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Ana Pereira,Editora Planeta,51.41,Livraria Lecos,144
O Mistério de Londres,Suspense,João Silva,Companhia das Letras,40.17,Livraria Martins Fontes,40
Amor Eterno: Entre Nós,Romance,Beatriz Nunes,Editora Rocco,44.6,Livraria Lecos,40
Desperte Seu Poder: Superando Limites,Autoajuda,Lucas Lima,Companhia das Letras,18.82,Livraria Lecos,24
Os Olhos da Noite,Terror,Juliana Rocha,Editora Rocco,31.0,Livraria Martins Fontes,2
O Mistério de Paris,Suspense,Beatriz Nunes,Intrínseca,19.14,Livraria Martins Fontes,1
Nos Bastidores da História,História,Pedro Martins,Companhia das Letras,13.38,Livraria da Travessa,99
O Feitiço da Estrela,Fantasia,Lucas Lima,Editora Globo,34.1,Livraria Martins Fontes,860
O Feitiço da Lua,Fantasia,Lucas Lima,Editora Record,37.55,Livraria Martins Fontes,30
Aventura Radical: Viagem ao Centro da Terra,Aventura,Sofia Almeida,Intrínseca,16.74,Livraria da Travessa,334
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Gustavo Ribeiro,Editora Globo,14.04,Livraria Martins Fontes,55
Futuro Agora: Conectando o Mundo,Tecnologia,Gustavo Ribeiro,Intrínseca,43.88,Livraria da Travessa,12
Amor Eterno: Entre Nós,Romance,Sofia Almeida,Editora Rocco,27.82,Livraria da Travessa,237
Os Olhos da Noite,Terror,Gustavo Ribeiro,Editora Record,52.37,Livraria Fnac,0
A Casa das Sombras,Terror,Juliana Rocha,Intrínseca,5.36,Livraria Cultura,1
Amor Eterno: A Noite das Estrelas,Romance,Sofia Almeida,Editora Rocco,54.39,Livraria Cultura,154
Os Olhos da Noite,Terror,João Silva,Intrínseca,23.96,Livraria Fnac,175
O Feitiço da Estrela,Fantasia,João Silva,Editora Sextante,57.91,Livraria Cultura,92
A Casa das Sombras,Terror,Carlos Souza,Companhia das Letras,72.46,Livraria Martins Fontes,378
Amor Eterno: O Último Beijo,Romance,Beatriz Nunes,Editora Globo,13.55,Livraria Saraiva,75
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Editora Globo,36.54,Livraria Saraiva,0
O Mistério de Moscou,Suspense,Lucas Lima,Editora Rocco,15.29,Livraria Cultura,118
A Casa das Sombras,Terror,Carla Dias,Editora Planeta,49.85,Livraria Martins Fontes,90
Aventura Radical: Viagem ao Centro da Terra,Aventura,Rafael Gomes,Editora Globo,14.7,Livraria da Travessa,203
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Editora Planeta,126.21,Livraria Fnac,0
O Feitiço da Lua,Fantasia,Pedro Martins,Editora Globo,84.86,Livraria Saraiva,2
Futuro Agora: Conectando o Mundo,Tecnologia,Rafael Gomes,Intrínseca,67.52,Livraria da Travessa,498
Desperte Seu Poder: Vença o Medo,Autoajuda,Rafael Gomes,Editora Globo,76.23,Livraria da Travessa,42
A Última Fronteira,Ficção,Gustavo Ribeiro,Companhia das Letras,11.09,Livraria Saraiva,94
Além do Infinito,Ficção,Fernanda Costa,Editora Sextante,38.83,Livraria Lecos,77
Desperte Seu Poder: Vença o Medo,Autoajuda,Sofia Almeida,Editora Globo,19.2,Livraria Cultura,72
O Feitiço da Sombra,Fantasia,Lucas Lima,Companhia das Letras,29.38,Livraria Saraiva,6
Amor Eterno: Entre Nós,Romance,Ana Pereira,Companhia das Letras,6.29,Livraria Martins Fontes,66
Os Guerreiros do Passado,História,Sofia Almeida,Companhia das Letras,16.72,Livraria Cultura,0
A Última Fronteira,Ficção,Sofia Almeida,Companhia das Letras,22.59,Livraria Saraiva,21
O Mistério de Paris,Suspense,Pedro Martins,Companhia das Letras,41.28,Livraria Martins Fontes,54
Vida Incrível: Histórias de Superação,Biografia,Thiago Fernandes,Companhia das Letras,9.11,Livraria Martins Fontes,374
A Casa das Sombras,Terror,Beatriz Nunes,Editora Globo,5.13,Livraria Lecos,0
Os Olhos da Noite,Terror,Ana Pereira,Intrínseca,16.65,Livraria Martins Fontes,1
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Carlos Souza,Editora Rocco,62.61,Livraria Martins Fontes,0
A Última Fronteira,Ficção,João Silva,Intrínseca,166.64,Livraria Lecos,18
Futuro Agora: Inteligência Artificial,Tecnologia,Juliana Rocha,Editora Sextante,192.29,Livraria da Travessa,895
Amor Eterno: Entre Nós,Romance,Rafael Gomes,Editora Rocco,10.39,Livraria da Travessa,13
O Feitiço da Estrela,Fantasia,Lucas Lima,Editora Record,89.3,Livraria da Travessa,243
Amor Eterno: A Noite das Estrelas,Romance,Carla Dias,Editora Planeta,56.24,Livraria Fnac,87
Vida Incrível: Histórias de Superação,Biografia,Beatriz Nunes,Editora Rocco,84.26,Livraria Saraiva,256
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Juliana Rocha,Editora Record,11.9,Livraria Fnac,0
Os Olhos da Noite,Terror,Lucas Lima,Editora Planeta,19.01,Livraria Saraiva,7
A Última Batalha,História,Rafael Gomes,Intrínseca,20.67,Livraria Saraiva,88
Aventura Radical: Viagem ao Centro da Terra,Aventura,Sofia Almeida,Editora Rocco,13.61,Livraria da Travessa,68
A Casa das Sombras,Terror,Ana Pereira,Editora Planeta,118.16,Livraria Cultura,73
A Última Batalha,História,Lucas Lima,Editora Sextante,20.28,Livraria Lecos,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Pedro Martins,Editora Rocco,45.25,Livraria Saraiva,354
O Mistério de Londres,Suspense,Carlos Souza,Editora Rocco,72.44,Livraria Cultura,35
Futuro Agora: Conectando o Mundo,Tecnologia,Maria Oliveira,Editora Record,4.96,Livraria Lecos,274
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Juliana Rocha,Editora Planeta,197.51,Livraria Fnac,76
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Editora Record,51.67,Livraria Saraiva,55
Vida Incrível: Passos para a Eternidade,Biografia,Carla Dias,Editora Globo,9.74,Livraria Martins Fontes,8
O Feitiço da Montanha,Fantasia,Juliana Rocha,Editora Rocco,9.8,Livraria Cultura,109
O Horizonte Proibido,Ficção,João Silva,Companhia das Letras,27.39,Livraria Lecos,123
O Feitiço da Sombra,Fantasia,Fernanda Costa,Editora Planeta,38.41,Livraria Fnac,0
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Planeta,144.51,Livraria Lecos,155
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Editora Globo,44.15,Livraria Cultura,37
A Casa das Sombras,Terror,Rafael Gomes,Editora Rocco,128.05,Livraria Cultura,294
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Juliana Rocha,Editora Record,105.06,Livraria Fnac,6
O Feitiço da Lua,Fantasia,Maria Oliveira,Editora Planeta,25.74,Livraria Fnac,12
Revolução Científica: O Enigma da Matéria,Ciência,Rafael Gomes,Editora Planeta,67.53,Livraria Fnac,0
O Feitiço da Lua,Fantasia,Pedro Martins,Intrínseca,97.84,Livraria Lecos,415
Desperte Seu Poder: Superando Limites,Autoajuda,Maria Oliveira,Editora Globo,51.98,Livraria Cultura,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Juliana Rocha,Intrínseca,70.26,Livraria Saraiva,48
Futuro Agora: Revolução Digital,Tecnologia,Rafael Gomes,Editora Globo,23.92,Livraria Fnac,30
Revolução Científica: Mistérios do Universo,Ciência,Juliana Rocha,Editora Sextante,34.3,Livraria Lecos,0
Vida Incrível: Passos para a Eternidade,Biografia,Carla Dias,Editora Planeta,23.33,Livraria Saraiva,6
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Fernanda Costa,Companhia das Letras,57.67,Livraria Martins Fontes,86
Futuro Agora: Revolução Digital,Tecnologia,Ana Pereira,Editora Rocco,45.02,Livraria Lecos,396
Amor Eterno: O Último Beijo,Romance,Maria Oliveira,Editora Sextante,52.67,Livraria Saraiva,23
O Feitiço da Montanha,Fantasia,Pedro Martins,Editora Sextante,20.26,Livraria da Travessa,18
Aventura Radical: Viagem ao Centro da Terra,Aventura,Carlos Souza,Editora Record,9.91,Livraria Cultura,94
O Feitiço da Chama,Fantasia,Lucas Lima,Editora Planeta,43.03,Livraria da Travessa,171
Nos Bastidores da História,História,Gustavo Ribeiro,Editora Globo,37.2,Livraria Saraiva,9
Futuro Agora: Conectando o Mundo,Tecnologia,Beatriz Nunes,Editora Globo,45.18,Livraria Cultura,52
Aventura Radical: Viagem ao Centro da Terra,Aventura,Lucas Lima,Editora Planeta,29.62,Livraria da Travessa,0
Além do Infinito,Ficção,Pedro Martins,Companhia das Letras,11.42,Livraria da Travessa,28
A Última Batalha,História,Rafael Gomes,Intrínseca,84.57,Livraria Saraiva,9
Além do Infinito,Ficção,Ana Pereira,Editora Planeta,84.37,Livraria Fnac,221
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Record,87.89,Livraria Saraiva,630
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Intrínseca,173.54,Livraria Fnac,471
O Feitiço da Lua,Fantasia,Thiago Fernandes,Companhia das Letras,14.08,Livraria Lecos,3
Revolução Científica: Mistérios do Universo,Ciência,Rafael Gomes,Editora Rocco,14.66,Livraria Fnac,470
