NM_LIVRO,NM_GENERO,NM_AUTOR,NM_EDITORA,NR_VALOR_VENDA,NM_LIVRARIA,NR_UNIDADES_VENDIDAS
O Mistério de Moscou,Suspense,João Silva,Intrínseca,15.38,Livraria Lecos,108
Revolução Científica: Mistérios do Universo,Ciência,Gustavo Ribeiro,Editora Rocco,56.93,Livraria Saraiva,52
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Beatriz Nunes,Editora Rocco,31.35,Livraria Lecos,63
Amor Eterno: Entre Nós,Romance,Carla Dias,Companhia das Letras,25.32,Livraria Fnac,2
O Mistério de Nova York,Suspense,Pedro Martins,Editora Record,7.96,Livraria Martins Fontes,461
Revolução Científica: Mistérios do Universo,Ciência,Maria Oliveira,Editora Rocco,18.05,Livraria Lecos,172
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Editora Rocco,24.62,Livraria Fnac,28
No Coração do Terror,Terror,Gustavo Ribeiro,Editora Globo,26.91,Livraria Fnac,273
A Última Batalha,História,Pedro Martins,Companhia das Letras,133.2,Livraria Fnac,207
O Feitiço da Lua,Fantasia,Fernanda Costa,Editora Rocco,28.26,Livraria Martins Fontes,7
Nos Bastidores da História,História,Thiago Fernandes,Editora Rocco,22.84,Livraria Martins Fontes,24
Vida Incrível: O Legado de uma Lenda,Biografia,João Silva,Companhia das Letras,24.18,Livraria Lecos,0
No Coração do Terror,Terror,Ana Pereira,Editora Record,20.29,Livraria Fnac,9
O Feitiço da Lua,Fantasia,Thiago Fernandes,Editora Globo,55.54,Livraria da Travessa,72
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,João Silva,Companhia das Letras,42.44,Livraria Martins Fontes,198
A Última Fronteira,Ficção,Rafael Gomes,Editora Rocco,13.61,Livraria Lecos,147
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Editora Record,35.42,Livraria Fnac,67
No Coração do Terror,Terror,Beatriz Nunes,Editora Planeta,15.12,Livraria Lecos,190
Os Guerreiros do Passado,História,Gustavo Ribeiro,Editora Globo,19.1,Livraria da Travessa,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Companhia das Letras,57.19,Livraria da Travessa,46
No Coração do Terror,Terror,Carlos Souza,Intrínseca,28.41,Livraria da Travessa,35
O Mistério de Nova York,Suspense,João Silva,Editora Sextante,158.18,Livraria Cultura,20
Futuro Agora: Inteligência Artificial,Tecnologia,Rafael Gomes,Editora Globo,33.45,Livraria Cultura,79
Amor Eterno: Entre Nós,Romance,Pedro Martins,Editora Rocco,127.46,Livraria Martins Fontes,61
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Thiago Fernandes,Companhia das Letras,135.13,Livraria Cultura,31
Futuro Agora: Inteligência Artificial,Tecnologia,Gustavo Ribeiro,Editora Planeta,74.62,Livraria Cultura,161
No Coração do Terror,Terror,Ana Pereira,Intrínseca,17.54,Livraria Martins Fontes,0
Amor Eterno: O Último Beijo,Romance,Thiago Fernandes,Intrínseca,16.23,Livraria Fnac,95
Nos Bastidores da História,História,Carla Dias,Companhia das Letras,42.27,Livraria Cultura,70
Revolução Científica: Explorando o Infinito,Ciência,Gustavo Ribeiro,Companhia das Letras,20.92,Livraria da Travessa,91
No Coração do Terror,Terror,Carlos Souza,Editora Planeta,76.33,Livraria Cultura,29
No Coração do Terror,Terror,Ana Pereira,Editora Sextante,276.32,Livraria da Travessa,9
Além do Infinito,Ficção,Carla Dias,Editora Sextante,94.05,Livraria Fnac,894
A Casa das Sombras,Terror,Ana Pereira,Editora Planeta,57.38,Livraria Martins Fontes,12
O Mistério de Londres,Suspense,Maria Oliveira,Editora Record,60.3,Livraria Saraiva,88
Além do Infinito,Ficção,Lucas Lima,Editora Rocco,31.84,Livraria Saraiva,93
Vida Incrível: O Legado de uma Lenda,Biografia,Juliana Rocha,Editora Globo,27.62,Livraria Cultura,232
No Coração do Terror,Terror,Maria Oliveira,Intrínseca,5.88,Livraria Lecos,56
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Maria Oliveira,Editora Record,28.38,Livraria Lecos,0
O Feitiço da Montanha,Fantasia,Pedro Martins,Companhia das Letras,10.36,Livraria da Travessa,31
Vida Incrível: Passos para a Eternidade,Biografia,Thiago Fernandes,Editora Globo,37.58,Livraria da Travessa,118
A Última Batalha,História,Thiago Fernandes,Editora Globo,86.82,Livraria Martins Fontes,46
Aventura Radical: Os Mistérios do Deserto,Aventura,João Silva,Editora Rocco,85.43,Livraria Saraiva,0
Vida Incrível: Histórias de Superação,Biografia,Rafael Gomes,Editora Globo,18.85,Livraria Fnac,0
Vida Incrível: O Legado de uma Lenda,Biografia,Rafael Gomes,Editora Rocco,23.43,Livraria Fnac,21
Revolução Científica: O Enigma da Matéria,Ciência,Rafael Gomes,Intrínseca,11.71,Livraria da Travessa,0
Vida Incrível: Passos para a Eternidade,Biografia,Pedro Martins,Editora Record,59.98,Livraria da Travessa,3
Vida Incrível: Histórias de Superação,Biografia,Maria Oliveira,Editora Rocco,25.42,Livraria da Travessa,134
A Casa das Sombras,Terror,Thiago Fernandes,Editora Sextante,39.98,Livraria Cultura,0
Os Olhos da Noite,Terror,Carlos Souza,Editora Rocco,18.34,Livraria Fnac,42
Vida Incrível: Passos para a Eternidade,Biografia,Carlos Souza,Editora Sextante,37.8,Livraria Cultura,135
O Mistério de Londres,Suspense,Sofia Almeida,Editora Sextante,36.64,Livraria da Travessa,0
Aventura Radical: Viagem ao Centro da Terra,Aventura,Juliana Rocha,Companhia das Letras,17.72,Livraria Lecos,34
Nos Bastidores da História,História,Maria Oliveira,Editora Globo,207.6,Livraria Fnac,2
Futuro Agora: Inteligência Artificial,Tecnologia,Beatriz Nunes,Editora Rocco,215.32,Livraria Martins Fontes,25
Amor Eterno: A Noite das Estrelas,Romance,Rafael Gomes,Editora Record,22.97,Livraria Cultura,209
O Horizonte Proibido,Ficção,Maria Oliveira,Intrínseca,27.09,Livraria Martins Fontes,56
O Feitiço da Estrela,Fantasia,Carla Dias,Editora Planeta,9.11,Livraria Fnac,62
No Coração do Terror,Terror,Sofia Almeida,Editora Planeta,62.09,Livraria Lecos,6
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Juliana Rocha,Editora Rocco,48.07,Livraria Martins Fontes,48
Revolução Científica: O Enigma da Matéria,Ciência,Gustavo Ribeiro,Editora Globo,77.92,Livraria Lecos,3
Amor Eterno: A Noite das Estrelas,Romance,João Silva,Editora Globo,24.32,Livraria Fnac,33
O Mistério de Moscou,Suspense,Fernanda Costa,Editora Globo,20.27,Livraria Fnac,218
O Feitiço da Estrela,Fantasia,Pedro Martins,Editora Planeta,37.36,Livraria Fnac,80
Os Guerreiros do Passado,História,Beatriz Nunes,Editora Record,370.57,Livraria da Travessa,4
Revolução Científica: Explorando o Infinito,Ciência,Beatriz Nunes,Intrínseca,9.81,Livraria Cultura,0
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Beatriz Nunes,Editora Planeta,92.61,Livraria Fnac,25
A Casa das Sombras,Terror,Carla Dias,Intrínseca,25.29,Livraria Saraiva,33
Desperte Seu Poder: Superando Limites,Autoajuda,Rafael Gomes,Companhia das Letras,29.89,Livraria Martins Fontes,123
Revolução Científica: O Enigma da Matéria,Ciência,Carlos Souza,Companhia das Letras,12.0,Livraria Cultura,27
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Carlos Souza,Editora Sextante,40.78,Livraria Fnac,4
Vida Incrível: O Legado de uma Lenda,Biografia,Thiago Fernandes,Editora Record,21.68,Livraria Fnac,137
O Mistério de Londres,Suspense,Rafael Gomes,Editora Sextante,34.16,Livraria Saraiva,107
Revolução Científica: Explorando o Infinito,Ciência,Carla Dias,Intrínseca,10.72,Livraria da Travessa,251
Futuro Agora: Inteligência Artificial,Tecnologia,Pedro Martins,Editora Record,34.83,Livraria Martins Fontes,49
O Horizonte Proibido,Ficção,Gustavo Ribeiro,Editora Globo,50.4,Livraria Martins Fontes,200
Amor Eterno: Corações em Chamas,Romance,Carlos Souza,Editora Sextante,35.26,Livraria Martins Fontes,45
A Última Batalha,História,Juliana Rocha,Editora Sextante,10.91,Livraria Cultura,119
Além do Infinito,Ficção,Carlos Souza,Editora Rocco,21.79,Livraria Lecos,0
Amor Eterno: Corações em Chamas,Romance,Lucas Lima,Editora Planeta,50.62,Livraria Martins Fontes,6
Amor Eterno: A Noite das Estrelas,Romance,Thiago Fernandes,Editora Record,134.64,Livraria Fnac,0
Os Olhos da Noite,Terror,Pedro Martins,Editora Rocco,60.52,Livraria Cultura,331
O Mistério de Londres,Suspense,Juliana Rocha,Editora Sextante,21.37,Livraria da Travessa,0
O Feitiço da Estrela,Fantasia,Gustavo Ribeiro,Companhia das Letras,21.18,Livraria Martins Fontes,45
Aventura Radical: Viagem ao Centro da Terra,Aventura,Maria Oliveira,Editora Rocco,75.27,Livraria Martins Fontes,7
Os Guerreiros do Passado,História,Thiago Fernandes,Editora Record,59.45,Livraria Cultura,348
Desperte Seu Poder: Superando Limites,Autoajuda,Thiago Fernandes,Companhia das Letras,12.74,Livraria Cultura,18
Revolução Científica: O Enigma da Matéria,Ciência,Pedro Martins,Intrínseca,31.69,Livraria Martins Fontes,53
A Última Batalha,História,Pedro Martins,Intrínseca,48.9,Livraria Fnac,25
O Mistério de Nova York,Suspense,Pedro Martins,Editora Sextante,10.52,Livraria Saraiva,4
A Última Batalha,História,Lucas Lima,Editora Globo,21.21,Livraria Martins Fontes,15
O Mistério de Londres,Suspense,Maria Oliveira,Editora Globo,310.04,Livraria Fnac,0
Revolução Científica: Mistérios do Universo,Ciência,Ana Pereira,Intrínseca,114.83,Livraria da Travessa,26
Aventura Radical: Os Mistérios do Deserto,Aventura,Juliana Rocha,Editora Record,45.06,Livraria da Travessa,0
Desperte Seu Poder: Superando Limites,Autoajuda,Beatriz Nunes,Editora Sextante,26.8,Livraria Martins Fontes,1
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,João Silva,Editora Sextante,42.22,Livraria Fnac,197
Vida Incrível: Histórias de Superação,Biografia,Carla Dias,Editora Rocco,31.43,Livraria Lecos,244
Revolução Científica: O Enigma da Matéria,Ciência,Fernanda Costa,Editora Record,21.98,Livraria da Travessa,12
O Feitiço da Montanha,Fantasia,Lucas Lima,Companhia das Letras,30.64,Livraria Fnac,349
O Feitiço da Lua,Fantasia,Sofia Almeida,Editora Sextante,40.56,Livraria Cultura,2
Futuro Agora: Conectando o Mundo,Tecnologia,Lucas Lima,Editora Rocco,31.34,Livraria da Travessa,8
A Última Fronteira,Ficção,Carlos Souza,Intrínseca,35.0,Livraria da Travessa,15
Desperte Seu Poder: Vença o Medo,Autoajuda,Lucas Lima,Editora Sextante,16.36,Livraria Lecos,41
Revolução Científica: O Enigma da Matéria,Ciência,João Silva,Editora Record,38.08,Livraria Lecos,22
Aventura Radical: Viagem ao Centro da Terra,Aventura,Carlos Souza,Editora Record,65.07,Livraria Saraiva,0
Revolução Científica: Mistérios do Universo,Ciência,Lucas Lima,Editora Planeta,32.67,Livraria Fnac,3
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,João Silva,Editora Sextante,42.43,Livraria Lecos,17
O Feitiço da Chama,Fantasia,Carlos Souza,Editora Rocco,89.55,Livraria Fnac,141
Desperte Seu Poder: Superando Limites,Autoajuda,Sofia Almeida,Editora Planeta,59.45,Livraria Cultura,8
Os Olhos da Noite,Terror,Maria Oliveira,Editora Planeta,6.78,Livraria Cultura,379
No Coração do Terror,Terror,Beatriz Nunes,Editora Sextante,71.93,Livraria Lecos,0
Amor Eterno: A Noite das Estrelas,Romance,Gustavo Ribeiro,Editora Planeta,18.42,Livraria Martins Fontes,202
Futuro Agora: Conectando o Mundo,Tecnologia,João Silva,Intrínseca,63.04,Livraria Fnac,0
Os Guerreiros do Passado,História,João Silva,Editora Rocco,33.3,Livraria da Travessa,13
O Feitiço da Lua,Fantasia,Thiago Fernandes,Intrínseca,14.3,Livraria Fnac,707
Aventuras Mágicas: A Fada e o Dragão,Infantil,Rafael Gomes,Intrínseca,88.15,Livraria Martins Fontes,112
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Rafael Gomes,Editora Planeta,9.9,Livraria Martins Fontes,3
Vida Incrível: Histórias de Superação,Biografia,Maria Oliveira,Intrínseca,47.91,Livraria Lecos,335
O Mistério de Paris,Suspense,Gustavo Ribeiro,Editora Globo,11.87,Livraria Cultura,67
Os Olhos da Noite,Terror,Gustavo Ribeiro,Editora Planeta,52.1,Livraria da Travessa,13
Revolução Científica: Explorando o Infinito,Ciência,Beatriz Nunes,Intrínseca,77.38,Livraria Saraiva,53
Revolução Científica: O Enigma da Matéria,Ciência,Ana Pereira,Editora Planeta,16.99,Livraria Fnac,44
Desperte Seu Poder: Vença o Medo,Autoajuda,Juliana Rocha,Editora Sextante,23.44,Livraria Fnac,64
Aventura Radical: Viagem ao Centro da Terra,Aventura,Juliana Rocha,Editora Globo,12.46,Livraria Lecos,67
Os Olhos da Noite,Terror,Lucas Lima,Companhia das Letras,18.75,Livraria da Travessa,42
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Planeta,123.64,Livraria Cultura,65
Futuro Agora: Inteligência Artificial,Tecnologia,Carlos Souza,Intrínseca,21.09,Livraria Martins Fontes,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Rafael Gomes,Companhia das Letras,75.54,Livraria Fnac,66
O Feitiço da Chama,Fantasia,Rafael Gomes,Intrínseca,226.66,Livraria Cultura,0
Revolução Científica: O Enigma da Matéria,Ciência,João Silva,Companhia das Letras,14.8,Livraria da Travessa,60
Aventuras Mágicas: A Fada e o Dragão,Infantil,Fernanda Costa,Companhia das Letras,18.5,Livraria Fnac,46
Amor Eterno: A Noite das Estrelas,Romance,Carla Dias,Editora Globo,14.11,Livraria Saraiva,41
Amor Eterno: Entre Nós,Romance,Carla Dias,Editora Record,14.85,Livraria Fnac,0
Vida Incrível: Histórias de Superação,Biografia,Carla Dias,Intrínseca,16.14,Livraria Martins Fontes,0
A Última Fronteira,Ficção,Juliana Rocha,Editora Record,60.77,Livraria Martins Fontes,284
O Feitiço da Montanha,Fantasia,Beatriz Nunes,Editora Rocco,72.96,Livraria Lecos,27
O Feitiço da Estrela,Fantasia,Pedro Martins,Editora Record,132.87,Livraria da Travessa,13
Os Guerreiros do Passado,História,Maria Oliveira,Editora Rocco,13.99,Livraria Fnac,5
Amor Eterno: A Noite das Estrelas,Romance,Carlos Souza,Editora Rocco,24.76,Livraria da Travessa,84
O Mistério de Moscou,Suspense,Carlos Souza,Editora Rocco,12.64,Livraria Lecos,30
A Última Batalha,História,Lucas Lima,Intrínseca,11.27,Livraria Lecos,0
Aventuras Mágicas: A Fada e o Dragão,Infantil,Lucas Lima,Editora Globo,36.09,Livraria Martins Fontes,0
Futuro Agora: Conectando o Mundo,Tecnologia,Gustavo Ribeiro,Editora Record,20.11,Livraria Cultura,0
Revolução Científica: Explorando o Infinito,Ciência,Rafael Gomes,Editora Record,8.33,Livraria Cultura,76
Amor Eterno: A Noite das Estrelas,Romance,Maria Oliveira,Editora Planeta,84.99,Livraria Cultura,1
Revolução Científica: O Enigma da Matéria,Ciência,Thiago Fernandes,Editora Rocco,63.88,Livraria da Travessa,26
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Gustavo Ribeiro,Editora Sextante,65.0,Livraria Saraiva,31
Os Guerreiros do Passado,História,Gustavo Ribeiro,Companhia das Letras,50.01,Livraria Cultura,12
Nos Bastidores da História,História,Thiago Fernandes,Editora Planeta,47.08,Livraria Saraiva,262
Além do Infinito,Ficção,Juliana Rocha,Editora Globo,56.83,Livraria Lecos,196
Aventuras Mágicas: A Fada e o Dragão,Infantil,Gustavo Ribeiro,Editora Planeta,33.13,Livraria da Travessa,7
O Mistério de Londres,Suspense,Rafael Gomes,Companhia das Letras,31.12,Livraria da Travessa,76
A Casa das Sombras,Terror,Lucas Lima,Editora Globo,33.7,Livraria Lecos,6
O Feitiço da Montanha,Fantasia,Juliana Rocha,Editora Sextante,69.77,Livraria Martins Fontes,47
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Rafael Gomes,Intrínseca,32.25,Livraria da Travessa,5
Futuro Agora: Inteligência Artificial,Tecnologia,Maria Oliveira,Editora Sextante,11.91,Livraria Lecos,473
Revolução Científica: Explorando o Infinito,Ciência,Lucas Lima,Intrínseca,35.31,Livraria Martins Fontes,418
Futuro Agora: Inteligência Artificial,Tecnologia,Sofia Almeida,Intrínseca,45.07,Livraria da Travessa,107
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Sofia Almeida,Editora Planeta,65.22,Livraria Martins Fontes,47
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Lucas Lima,Editora Sextante,18.12,Livraria Saraiva,119
Nos Bastidores da História,História,Juliana Rocha,Editora Planeta,19.86,Livraria Cultura,3
Aventura Radical: Viagem ao Centro da Terra,Aventura,Thiago Fernandes,Companhia das Letras,40.38,Livraria da Travessa,61
O Mistério de Moscou,Suspense,Rafael Gomes,Editora Record,9.35,Livraria Lecos,0
Futuro Agora: Conectando o Mundo,Tecnologia,Carla Dias,Editora Record,4.76,Livraria Fnac,0
Além do Infinito,Ficção,Lucas Lima,Editora Sextante,53.66,Livraria Martins Fontes,28
Futuro Agora: Conectando o Mundo,Tecnologia,Pedro Martins,Editora Record,23.01,Livraria Martins Fontes,105
Vida Incrível: Passos para a Eternidade,Biografia,Sofia Almeida,Editora Rocco,35.55,Livraria Cultura,14
Vida Incrível: O Legado de uma Lenda,Biografia,Fernanda Costa,Editora Globo,30.88,Livraria Fnac,159
Aventuras Mágicas: A Fada e o Dragão,Infantil,Pedro Martins,Intrínseca,41.77,Livraria da Travessa,0
Futuro Agora: Conectando o Mundo,Tecnologia,Sofia Almeida,Editora Planeta,33.79,Livraria Saraiva,70
Amor Eterno: Corações em Chamas,Romance,Sofia Almeida,Editora Record,66.76,Livraria Fnac,0
Vida Incrível: Passos para a Eternidade,Biografia,Pedro Martins,Editora Globo,23.58,Livraria Cultura,0
Desperte Seu Poder: Superando Limites,Autoajuda,Rafael Gomes,Editora Sextante,66.3,Livraria da Travessa,0
Vida Incrível: O Legado de uma Lenda,Biografia,Carla Dias,Editora Planeta,6.22,Livraria Saraiva,32
O Feitiço da Lua,Fantasia,Fernanda Costa,Editora Rocco,26.73,Livraria Martins Fontes,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Editora Record,11.28,Livraria Cultura,0
O Mistério de Nova York,Suspense,Gustavo Ribeiro,Editora Globo,100.93,Livraria Saraiva,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Thiago Fernandes,Editora Record,18.82,Livraria Cultura,124
A Casa das Sombras,Terror,Juliana Rocha,Editora Record,12.35,Livraria Martins Fontes,15
Futuro Agora: Conectando o Mundo,Tecnologia,Rafael Gomes,Editora Sextante,74.51,Livraria da Travessa,39
A Última Fronteira,Ficção,Pedro Martins,Companhia das Letras,23.28,Livraria da Travessa,18
Futuro Agora: Conectando o Mundo,Tecnologia,Juliana Rocha,Intrínseca,6.36,Livraria Cultura,17
A Casa das Sombras,Terror,Carlos Souza,Editora Sextante,49.4,Livraria Martins Fontes,7
Vida Incrível: O Legado de uma Lenda,Biografia,Thiago Fernandes,Editora Planeta,34.79,Livraria Saraiva,73
Amor Eterno: Corações em Chamas,Romance,Lucas Lima,Intrínseca,30.55,Livraria Lecos,0
O Mistério de Paris,Suspense,Fernanda Costa,Editora Sextante,81.61,Livraria Lecos,112
O Feitiço da Estrela,Fantasia,Carla Dias,Editora Record,19.93,Livraria Lecos,40
Amor Eterno: Entre Nós,Romance,Gustavo Ribeiro,Editora Planeta,13.29,Livraria Saraiva,35
Amor Eterno: Entre Nós,Romance,João Silva,Intrínseca,25.97,Livraria Martins Fontes,282
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,João Silva,Editora Sextante,37.19,Livraria Fnac,66
Desperte Seu Poder: Superando Limites,Autoajuda,Thiago Fernandes,Editora Planeta,107.22,Livraria da Travessa,16
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Intrínseca,16.33,Livraria Cultura,3
Vida Incrível: O Legado de uma Lenda,Biografia,Carla Dias,Intrínseca,65.22,Livraria da Travessa,330
Revolução Científica: Explorando o Infinito,Ciência,Fernanda Costa,Editora Globo,71.37,Livraria da Travessa,133
Os Guerreiros do Passado,História,Maria Oliveira,Editora Sextante,15.64,Livraria Lecos,0
Vida Incrível: O Legado de uma Lenda,Biografia,Pedro Martins,Intrínseca,12.74,Livraria Lecos,16
Vida Incrível: O Legado de uma Lenda,Biografia,Ana Pereira,Companhia das Letras,45.56,Livraria Fnac,151
A Casa das Sombras,Terror,Rafael Gomes,Intrínseca,23.42,Livraria da Travessa,0
Revolução Científica: O Enigma da Matéria,Ciência,João Silva,Intrínseca,12.16,Livraria Lecos,0
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Gustavo Ribeiro,Editora Globo,23.66,Livraria Saraiva,3
O Feitiço da Estrela,Fantasia,Carla Dias,Editora Rocco,47.06,Livraria Cultura,11
Vida Incrível: O Legado de uma Lenda,Biografia,Gustavo Ribeiro,Editora Record,29.51,Livraria Fnac,56
Aventuras Mágicas: A Fada e o Dragão,Infantil,Beatriz Nunes,Editora Globo,51.17,Livraria Martins Fontes,0
Além do Infinito,Ficção,Pedro Martins,Editora Sextante,63.72,Livraria Lecos,56
Amor Eterno: Corações em Chamas,Romance,Carlos Souza,Companhia das Letras,32.52,Livraria da Travessa,218
Os Guerreiros do Passado,História,Fernanda Costa,Editora Sextante,86.47,Livraria Martins Fontes,395
A Última Batalha,História,Juliana Rocha,Companhia das Letras,28.47,Livraria Saraiva,5
Além do Infinito,Ficção,Ana Pereira,Intrínseca,221.55,Livraria da Travessa,28
Futuro Agora: Conectando o Mundo,Tecnologia,Fernanda Costa,Editora Record,70.92,Livraria Martins Fontes,53
Aventuras Mágicas: A Fada e o Dragão,Infantil,Sofia Almeida,Editora Globo,8.44,Livraria Martins Fontes,0
Vida Incrível: Passos para a Eternidade,Biografia,João Silva,Intrínseca,91.49,Livraria Cultura,116
Vida Incrível: Passos para a Eternidade,Biografia,Beatriz Nunes,Editora Planeta,53.23,Livraria Saraiva,7
O Feitiço da Estrela,Fantasia,Lucas Lima,Editora Sextante,18.13,Livraria Saraiva,392
O Mistério de Paris,Suspense,Sofia Almeida,Intrínseca,7.62,Livraria Fnac,137
O Feitiço da Chama,Fantasia,Pedro Martins,Intrínseca,52.08,Livraria Saraiva,0
A Última Batalha,História,Thiago Fernandes,Editora Sextante,31.19,Livraria Saraiva,86
Amor Eterno: Corações em Chamas,Romance,Sofia Almeida,Editora Sextante,57.17,Livraria Lecos,438
Aventuras Mágicas: A Fada e o Dragão,Infantil,Carlos Souza,Editora Planeta,55.37,Livraria da Travessa,0
Desperte Seu Poder: Superando Limites,Autoajuda,Lucas Lima,Editora Planeta,49.45,Livraria Lecos,195
Além do Infinito,Ficção,Lucas Lima,Editora Globo,47.69,Livraria da Travessa,263
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Pedro Martins,Editora Record,18.2,Livraria Martins Fontes,0
Vida Incrível: Passos para a Eternidade,Biografia,Carlos Souza,Editora Record,19.37,Livraria Lecos,320
Revolução Científica: Mistérios do Universo,Ciência,Gustavo Ribeiro,Editora Globo,71.2,Livraria Fnac,228
Os Olhos da Noite,Terror,Ana Pereira,Editora Rocco,40.99,Livraria Martins Fontes,0
O Mistério de Londres,Suspense,Gustavo Ribeiro,Companhia das Letras,18.66,Livraria Fnac,63
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Sofia Almeida,Editora Globo,19.75,Livraria Lecos,247
Vida Incrível: Histórias de Superação,Biografia,Ana Pereira,Editora Globo,37.83,Livraria Lecos,0
Os Guerreiros do Passado,História,Carla Dias,Companhia das Letras,16.11,Livraria Cultura,25
O Feitiço da Estrela,Fantasia,Pedro Martins,Intrínseca,64.87,Livraria Martins Fontes,167
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Sofia Almeida,Companhia das Letras,190.0,Livraria Saraiva,248
Os Guerreiros do Passado,História,Beatriz Nunes,Companhia das Letras,14.89,Livraria Martins Fontes,2
Aventura Radical: Os Mistérios do Deserto,Aventura,Carla Dias,Editora Planeta,174.18,Livraria Cultura,0
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Maria Oliveira,Editora Planeta,33.52,Livraria Saraiva,0
Revolução Científica: O Enigma da Matéria,Ciência,Lucas Lima,Intrínseca,21.85,Livraria Lecos,0
Os Olhos da Noite,Terror,João Silva,Editora Planeta,18.65,Livraria Saraiva,6
A Última Batalha,História,Fernanda Costa,Editora Globo,85.41,Livraria Martins Fontes,244
Vida Incrível: Histórias de Superação,Biografia,Rafael Gomes,Intrínseca,124.31,Livraria Lecos,174
Vida Incrível: O Legado de uma Lenda,Biografia,Rafael Gomes,Intrínseca,39.24,Livraria Saraiva,111
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Pedro Martins,Companhia das Letras,24.62,Livraria Martins Fontes,0
Revolução Científica: Explorando o Infinito,Ciência,Thiago Fernandes,Editora Planeta,32.8,Livraria Fnac,101
Futuro Agora: Conectando o Mundo,Tecnologia,Rafael Gomes,Intrínseca,94.34,Livraria Saraiva,190
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Pedro Martins,Intrínseca,40.34,Livraria da Travessa,0
Amor Eterno: Corações em Chamas,Romance,Lucas Lima,Editora Record,112.29,Livraria Lecos,0
Os Guerreiros do Passado,História,Carlos Souza,Editora Rocco,14.32,Livraria Fnac,199
Vida Incrível: Passos para a Eternidade,Biografia,Ana Pereira,Editora Globo,25.46,Livraria Saraiva,0
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Rafael Gomes,Editora Globo,61.54,Livraria Lecos,647
O Mistério de Paris,Suspense,Lucas Lima,Editora Record,25.48,Livraria Fnac,2
A Última Fronteira,Ficção,Thiago Fernandes,Editora Globo,82.12,Livraria Lecos,49
Revolução Científica: Mistérios do Universo,Ciência,Sofia Almeida,Editora Planeta,47.59,Livraria Martins Fontes,69
